province,male,female,age
Prov. Bali,173522,161169,0-4
Prov. Bali,178837,167662,5-9
Prov. Bali,168541,157430,10-14
Prov. Bali,147447,137563,15-19
Prov. Bali,141708,141196,20-24
Prov. Bali,165904,166516,25-29
Prov. Bali,170956,170640,30-34
Prov. Bali,181063,176243,35-39
Prov. Bali,155377,150762,40-44
Prov. Bali,123469,121258,45-49
Prov. Bali,98337,100121,50-54
Prov. Bali,78666,76255,55-59
Prov. Bali,58801,64413,60-64
Prov. Bali,118720,138181,65+
Prov. Banten,540618,509714,0-4
Prov. Banten,550908,517080,5-9
Prov. Banten,549458,513675,10-14
Prov. Banten,521305,497975,15-19
Prov. Banten,514726,515413,20-24
Prov. Banten,540298,535342,25-29
Prov. Banten,489021,487905,30-34
Prov. Banten,452463,425260,35-39
Prov. Banten,380625,345959,40-44
Prov. Banten,295167,265703,45-49
Prov. Banten,224955,197729,50-54
Prov. Banten,149147,123477,55-59
Prov. Banten,94561,94924,60-64
Prov. Banten,135896,162862,65+
Prov. Bengkulu,90508,85299,0-4
Prov. Bengkulu,90252,84807,5-9
Prov. Bengkulu,89086,84558,10-14
Prov. Bengkulu,81033,78408,15-19
Prov. Bengkulu,78839,78218,20-24
Prov. Bengkulu,80971,80142,25-29
Prov. Bengkulu,76979,73135,30-34
Prov. Bengkulu,66308,64532,35-39
Prov. Bengkulu,57573,54414,40-44
Prov. Bengkulu,49698,45842,45-49
Prov. Bengkulu,40347,34958,50-54
Prov. Bengkulu,26739,22327,55-59
Prov. Bengkulu,17785,16851,60-64
Prov. Bengkulu,31041,34868,65+
Prov. D I Yogyakarta,132365,124558,0-4
Prov. D I Yogyakarta,128437,121410,5-9
Prov. D I Yogyakarta,129902,122711,10-14
Prov. D I Yogyakarta,144199,141564,15-19
Prov. D I Yogyakarta,151706,144840,20-24
Prov. D I Yogyakarta,140728,137237,25-29
Prov. D I Yogyakarta,132726,132697,30-34
Prov. D I Yogyakarta,127354,130460,35-39
Prov. D I Yogyakarta,129568,136044,40-44
Prov. D I Yogyakarta,112558,121461,45-49
Prov. D I Yogyakarta,101011,106595,50-54
Prov. D I Yogyakarta,79917,79220,55-59
Prov. D I Yogyakarta,54526,64923,60-64
Prov. D I Yogyakarta,143913,184861,65+
Prov. DKI Jakarta,427049,402775,0-4
Prov. DKI Jakarta,401341,375207,5-9
Prov. DKI Jakarta,351527,339847,10-14
Prov. DKI Jakarta,387215,428599,15-19
Prov. DKI Jakarta,502470,507929,20-24
Prov. DKI Jakarta,586344,558568,25-29
Prov. DKI Jakarta,514311,477849,30-34
Prov. DKI Jakarta,435345,401274,35-39
Prov. DKI Jakarta,360728,337012,40-44
Prov. DKI Jakarta,283987,279466,45-49
Prov. DKI Jakarta,220852,219887,50-54
Prov. DKI Jakarta,161124,151791,55-59
Prov. DKI Jakarta,100132,101346,60-64
Prov. DKI Jakarta,138513,155299,65+
Prov. Gorontalo,54875,51818,0-4
Prov. Gorontalo,59562,56912,5-9
Prov. Gorontalo,56225,53656,10-14
Prov. Gorontalo,51242,51355,15-19
Prov. Gorontalo,39213,39775,20-24
Prov. Gorontalo,44238,44156,25-29
Prov. Gorontalo,43165,43516,30-34
Prov. Gorontalo,42179,40832,35-39
Prov. Gorontalo,35050,34572,40-44
Prov. Gorontalo,28604,28204,45-49
Prov. Gorontalo,22073,22423,50-54
Prov. Gorontalo,17265,17143,55-59
Prov. Gorontalo,11672,13136,60-64
Prov. Gorontalo,16551,20752,65+
Prov. Jambi,165283,156616,0-4
Prov. Jambi,164102,155182,5-9
Prov. Jambi,155733,147519,10-14
Prov. Jambi,137983,133425,15-19
Prov. Jambi,140839,142874,20-24
Prov. Jambi,154341,153007,25-29
Prov. Jambi,142914,135134,30-34
Prov. Jambi,124708,117274,35-39
Prov. Jambi,104059,96865,40-44
Prov. Jambi,86629,81231,45-49
Prov. Jambi,70960,63872,50-54
Prov. Jambi,49487,41859,55-59
Prov. Jambi,31412,29784,60-64
Prov. Jambi,52660,56513,65+
Prov. Jawa Barat,2119969,2004666,0-4
Prov. Jawa Barat,2207317,2083318,5-9
Prov. Jawa Barat,2146506,2037114,10-14
Prov. Jawa Barat,1965450,1884478,15-19
Prov. Jawa Barat,1826776,1786560,20-24
Prov. Jawa Barat,1988660,1940773,25-29
Prov. Jawa Barat,1850314,1808273,30-34
Prov. Jawa Barat,1758987,1677663,35-39
Prov. Jawa Barat,1523829,1448269,40-44
Prov. Jawa Barat,1266133,1211306,45-49
Prov. Jawa Barat,1033134,974059,50-54
Prov. Jawa Barat,782426,694815,55-59
Prov. Jawa Barat,518274,535028,60-64
Prov. Jawa Barat,919265,1060370,65+
Prov. Jawa Tengah,1362128,1284566,0-4
Prov. Jawa Tengah,1416891,1343867,5-9
Prov. Jawa Tengah,1492750,1410887,10-14
Prov. Jawa Tengah,1363700,1284621,15-19
Prov. Jawa Tengah,1123529,1162344,20-24
Prov. Jawa Tengah,1237793,1286167,25-29
Prov. Jawa Tengah,1219799,1248331,30-34
Prov. Jawa Tengah,1165677,1200613,35-39
Prov. Jawa Tengah,1154428,1208803,40-44
Prov. Jawa Tengah,1051256,1097288,45-49
Prov. Jawa Tengah,916123,917458,50-54
Prov. Jawa Tengah,724870,673489,55-59
Prov. Jawa Tengah,476200,527341,60-64
Prov. Jawa Tengah,1013235,1267501,65+
Prov. Jawa Timur,1463775,1391828,0-4
Prov. Jawa Timur,1553027,1471127,5-9
Prov. Jawa Timur,1585645,1504537,10-14
Prov. Jawa Timur,1475160,1449134,15-19
Prov. Jawa Timur,1329017,1372477,20-24
Prov. Jawa Timur,1503968,1554637,25-29
Prov. Jawa Timur,1437531,1485179,30-34
Prov. Jawa Timur,1464184,1502758,35-39
Prov. Jawa Timur,1403677,1462913,40-44
Prov. Jawa Timur,1248980,1315172,45-49
Prov. Jawa Timur,1095505,1094961,50-54
Prov. Jawa Timur,859843,804054,55-59
Prov. Jawa Timur,578436,645514,60-64
Prov. Jawa Timur,1106731,1503507,65+
Prov. Kalimantan Barat,231341,219050,0-4
Prov. Kalimantan Barat,249755,237872,5-9
Prov. Kalimantan Barat,233766,221751,10-14
Prov. Kalimantan Barat,202551,198242,15-19
Prov. Kalimantan Barat,194970,195803,20-24
Prov. Kalimantan Barat,205279,202210,25-29
Prov. Kalimantan Barat,190177,179534,30-34
